,starttime,endtime,,
311,1709222653,1709222653,,0
312,1709222653,1709222653,,1.00136E-05
313,1709222653,1709222653,,1.00136E-05
314,1709222653,1709222653,,1.00136E-05
315,1709222654,1709222654,,1.00136E-05
316,1709222654,1709222654,,1.00136E-05
317,1709222654,1709222654,,1.00136E-05
318,1709222654,1709222654,,1.00136E-05
319,1709222654,1709222654,,0
320,1709222654,1709222654,,1.00136E-05
321,1709222654,1709222654,,1.00136E-05
322,1709222654,1709222654,,0
323,1709222654,1709222654,,1.00136E-05
324,1709222654,1709222654,,0
325,1709222655,1709222655,,0
326,1709222655,1709222655,,0
327,1709222655,1709222655,,1.00136E-05
328,1709222655,1709222655,,0
329,1709222655,1709222655,,0
330,1709222655,1709222655,,1.00136E-05
331,1709222655,1709222655,,0
332,1709222655,1709222655,,1.00136E-05
333,1709222655,1709222655,,1.00136E-05
334,1709222656,1709222656,,0
335,1709222656,1709222656,,1.00136E-05
336,1709222656,1709222656,,0
337,1709222656,1709222656,,0
338,1709222656,1709222656,,0
339,1709222656,1709222656,,0
340,1709222656,1709222656,,1.00136E-05
341,1709222656,1709222656,,1.00136E-05
342,1709222656,1709222656,,0
343,1709222656,1709222656,,0
344,1709222656,1709222656,,0
345,1709222657,1709222657,,9.77516E-06
346,1709222657,1709222657,,0
347,1709222657,1709222657,,0
348,1709222657,1709222657,,1.00136E-05
349,1709222657,1709222657,,0
350,1709222657,1709222657,,0
351,1709222657,1709222657,,1.00136E-05
352,1709222657,1709222657,,1.00136E-05
353,1709222657,1709222657,,1.00136E-05
354,1709222657,1709222657,,0
355,1709222658,1709222658,,1.00136E-05
356,1709222658,1709222658,,0
357,1709222658,1709222658,,1.00136E-05
358,1709222658,1709222658,,1.00136E-05
359,1709222658,1709222658,,0
360,1709222658,1709222658,,1.00136E-05
361,1709222658,1709222658,,1.00136E-05
362,1709222658,1709222658,,1.00136E-05
363,1709222658,1709222658,,0
364,1709222659,1709222659,,0
365,1709222659,1709222659,,9.77516E-06
366,1709222659,1709222659,,0
367,1709222659,1709222659,,1.00136E-05
368,1709222659,1709222659,,0
369,1709222659,1709222659,,0
370,1709222659,1709222659,,1.00136E-05
371,1709222659,1709222659,,1.00136E-05
372,1709222659,1709222659,,1.00136E-05
373,1709222659,1709222659,,1.00136E-05
374,1709222660,1709222660,,0
375,1709222660,1709222660,,1.00136E-05
376,1709222660,1709222660,,1.00136E-05
377,1709222660,1709222660,,0
378,1709222660,1709222660,,1.00136E-05
379,1709222660,1709222660,,0
380,1709222660,1709222660,,0
381,1709222660,1709222660,,9.77516E-06
382,1709222660,1709222660,,1.00136E-05
383,1709222660,1709222660,,9.77516E-06
384,1709222661,1709222661,,0
385,1709222661,1709222661,,0
386,1709222661,1709222661,,9.77516E-06
387,1709222661,1709222661,,1.00136E-05
388,1709222661,1709222661,,1.00136E-05
389,1709222661,1709222661,,0
390,1709222661,1709222661,,1.00136E-05
391,1709222661,1709222661,,0
392,1709222661,1709222661,,1.00136E-05
393,1709222661,1709222661,,1.00136E-05
394,1709222662,1709222662,,0
395,1709222662,1709222662,,0
396,1709222662,1709222662,,0
397,1709222662,1709222662,,1.00136E-05
398,1709222662,1709222662,,0
399,1709222662,1709222662,,0
400,1709222662,1709222662,,0
401,1709222662,1709222662,,1.00136E-05
402,1709222662,1709222662,,1.00136E-05
403,1709222662,1709222662,,0
404,1709222663,1709222663,,3.98159E-05
405,1709222663,1709222663,,0
406,1709222663,1709222663,,1.00136E-05
407,1709222663,1709222663,,0
408,1709222663,1709222663,,9.77516E-06
409,1709222663,1709222663,,1.00136E-05
410,1709222663,1709222663,,1.00136E-05
411,1709222663,1709222663,,0
412,1709222663,1709222663,,0
413,1709222663,1709222663,,1.00136E-05
414,1709222664,1709222664,,1.00136E-05
415,1709222664,1709222664,,1.00136E-05
416,1709222664,1709222664,,0.000109911
417,1709222664,1709222664,,1.00136E-05
418,1709222664,1709222664,,0
419,1709222664,1709222664,,1.00136E-05
420,1709222664,1709222664,,0.00026989
421,1709222664,1709222664,,1.00136E-05
422,1709222664,1709222664,,1.00136E-05
423,1709222664,1709222664,,1.00136E-05
424,1709222665,1709222665,,1.00136E-05
425,1709222665,1709222665,,1.00136E-05
426,1709222665,1709222665,,1.00136E-05
427,1709222665,1709222665,,0
428,1709222665,1709222665,,0
429,1709222665,1709222665,,1.00136E-05
430,1709222665,1709222665,,1.00136E-05
431,1709222665,1709222665,,0
432,1709222665,1709222665,,1.00136E-05
433,1709222665,1709222665,,1.00136E-05
434,1709222666,1709222666,,0
435,1709222666,1709222666,,1.00136E-05
436,1709222666,1709222666,,1.00136E-05
437,1709222666,1709222666,,0
438,1709222666,1709222666,,1.00136E-05
439,1709222666,1709222666,,0
440,1709222666,1709222666,,1.00136E-05
441,1709222666,1709222666,,0
442,1709222666,1709222666,,0
443,1709222666,1709222666,,1.00136E-05
444,1709222667,1709222667,,0
445,1709222667,1709222667,,1.00136E-05
446,1709222667,1709222667,,1.00136E-05
447,1709222667,1709222667,,0
448,1709222667,1709222667,,1.00136E-05
449,1709222667,1709222667,,1.00136E-05
450,1709222667,1709222667,,1.00136E-05
451,1709222667,1709222667,,1.00136E-05
452,1709222667,1709222667,,1.00136E-05
453,1709222667,1709222667,,0
454,1709222668,1709222668,,0
455,1709222668,1709222668,,1.00136E-05
456,1709222668,1709222668,,1.00136E-05
457,1709222668,1709222668,,0
458,1709222668,1709222668,,4.00543E-05
459,1709222668,1709222668,,1.00136E-05
460,1709222668,1709222668,,0
461,1709222668,1709222668,,1.00136E-05
462,1709222668,1709222668,,1.00136E-05
463,1709222668,1709222668,,0
464,1709222669,1709222669,,1.00136E-05
465,1709222669,1709222669,,0
466,1709222669,1709222669,,1.00136E-05
467,1709222669,1709222669,,0
468,1709222669,1709222669,,1.00136E-05
469,1709222669,1709222669,,0
470,1709222669,1709222669,,0
471,1709222669,1709222669,,1.00136E-05
472,1709222669,1709222669,,1.00136E-05
473,1709222669,1709222669,,1.00136E-05
474,1709222670,1709222670,,0
475,1709222670,1709222670,,1.00136E-05
476,1709222670,1709222670,,0
477,1709222670,1709222670,,1.00136E-05
478,1709222670,1709222670,,0
479,1709222670,1709222670,,1.00136E-05
480,1709222670,1709222670,,0
481,1709222670,1709222670,,1.00136E-05
482,1709222670,1709222670,,0
483,1709222670,1709222670,,1.00136E-05
484,1709222670,1709222670,,1.00136E-05
485,1709222671,1709222671,,0
486,1709222671,1709222671,,1.00136E-05
487,1709222671,1709222671,,0
488,1709222671,1709222671,,1.00136E-05
489,1709222671,1709222671,,1.00136E-05
490,1709222671,1709222671,,1.00136E-05
491,1709222671,1709222671,,1.00136E-05
492,1709222671,1709222671,,1.00136E-05
493,1709222671,1709222671,,9.77516E-06
494,1709222672,1709222672,,0
495,1709222672,1709222672,,0
496,1709222672,1709222672,,1.00136E-05
497,1709222672,1709222672,,1.00136E-05
498,1709222672,1709222672,,9.77516E-06
499,1709222672,1709222672,,1.00136E-05
500,1709222672,1709222672,,1.00136E-05
501,1709222672,1709222672,,0
502,1709222672,1709222672,,1.00136E-05
503,1709222672,1709222672,,1.00136E-05
504,1709222673,1709222673,,1.00136E-05
505,1709222673,1709222673,,0
506,1709222673,1709222673,,1.00136E-05
507,1709222673,1709222673,,0
508,1709222673,1709222673,,0
509,1709222673,1709222673,,0
510,1709222673,1709222673,,1.00136E-05
511,1709222673,1709222673,,1.00136E-05
512,1709222673,1709222673,,1.00136E-05
513,1709222673,1709222673,,1.00136E-05
514,1709222674,1709222674,,0
515,1709222674,1709222674,,1.00136E-05
516,1709222674,1709222674,,0
517,1709222674,1709222674,,0
518,1709222674,1709222674,,0
519,1709222674,1709222674,,0
520,1709222674,1709222674,,0
521,1709222674,1709222674,,1.00136E-05
522,1709222674,1709222674,,1.00136E-05
523,1709222674,1709222674,,0
524,1709222675,1709222675,,0
525,1709222675,1709222675,,0
526,1709222675,1709222675,,0
527,1709222675,1709222675,,0
528,1709222675,1709222675,,0
529,1709222675,1709222675,,0
530,1709222675,1709222675,,0
531,1709222675,1709222675,,1.00136E-05
532,1709222675,1709222675,,0
533,1709222675,1709222675,,1.00136E-05
534,1709222676,1709222676,,0
535,1709222676,1709222676,,1.00136E-05
536,1709222676,1709222676,,0
537,1709222676,1709222676,,1.00136E-05
538,1709222676,1709222676,,1.97887E-05
539,1709222676,1709222676,,2.00272E-05
540,1709222677,1709222677,,2.00272E-05
541,1709222677,1709222677,,2.00272E-05
542,1709222677,1709222677,,2.00272E-05
543,1709222677,1709222677,,3.00407E-05
544,1709222677,1709222677,,3.00407E-05
545,1709222677,1709222677,,3.00407E-05
546,1709222677,1709222677,,3.00407E-05
547,1709222677,1709222677,,3.00407E-05
548,1709222677,1709222677,,2.00272E-05
549,1709222677,1709222677,,2.00272E-05
550,1709222677,1709222677,,1.00136E-05
551,1709222678,1709222678,,2.00272E-05
552,1709222678,1709222678,,2.00272E-05
553,1709222678,1709222678,,2.00272E-05
554,1709222678,1709222678,,1.00136E-05
555,1709222678,1709222678,,2.00272E-05
556,1709222678,1709222678,,2.00272E-05
557,1709222678,1709222678,,1.00136E-05
558,1709222678,1709222678,,1.00136E-05
559,1709222678,1709222678,,2.00272E-05
560,1709222679,1709222679,,3.00407E-05
561,1709222679,1709222679,,3.00407E-05
562,1709222679,1709222679,,2.00272E-05
563,1709222679,1709222679,,2.00272E-05
564,1709222679,1709222679,,1.97887E-05
565,1709222679,1709222679,,2.00272E-05
566,1709222679,1709222679,,2.00272E-05
567,1709222679,1709222679,,3.00407E-05
568,1709222679,1709222679,,1.00136E-05
569,1709222679,1709222679,,2.00272E-05
570,1709222680,1709222680,,1.00136E-05
571,1709222680,1709222680,,2.00272E-05
572,1709222680,1709222680,,3.00407E-05
573,1709222680,1709222680,,3.00407E-05
574,1709222680,1709222680,,2.00272E-05
575,1709222680,1709222680,,3.00407E-05
576,1709222680,1709222680,,2.00272E-05
577,1709222680,1709222680,,3.00407E-05
