,vehicleid,recievetime,,,
575,SW00,1709221298,,,
576,SN12,1709221298,,,
577,SN10,1709221298,,,
578,SE12,1709221298,,,
579,SE10,1709221298,,,
580,ES03,1709221298,,,
581,ES01,1709221298,,,
582,EW13,1709221298,,,
583,EW12,1709221298,,,
584,EW10,1709221298,,,
585,EN12,1709221298,,,
586,EN10,1709221298,,,
587,SW02,1709221298,,,
588,SN13,1709221298,,,
589,SN11,1709221298,,,
590,SE13,1709221298,,,
591,SE11,1709221298,,,
592,ES02,1709221298,,,
593,ES01,1709221298,,,
594,EW13,1709221298,,,
595,EW10,1709221298,,,
596,EN12,1709221298,,,
597,EN10,1709221298,,,
598,SW03,1709221298,,,
599,SW01,1709221298,,,
600,SN13,1709221298,,,
601,SN10,1709221298,,,
602,SE13,1709221298,,,
603,SE11,1709221298,,,
604,ES03,1709221298,,,
605,ES01,1709221298,,,
606,ES00,1709221298,,,
607,EW13,1709221298,,,
608,EW11,1709221298,,,
609,EN13,1709221298,,,
610,EN12,1709221298,,,
611,EN10,1709221298,,,
612,SW03,1709221298,,,
613,SW01,1709221298,,,
614,SW00,1709221298,,,
615,SN13,1709221298,,,
616,SN11,1709221298,,,
617,SN10,1709221298,,,
618,SE12,1709221298,,,
619,SE10,1709221298,,,
620,ES02,1709221298,,,
621,ES01,1709221298,,,
622,ES00,1709221298,,,
623,EW12,1709221298,,,
624,EW11,1709221298,,,
625,EN13,1709221298,,,
626,EN11,1709221298,,,
627,SW03,1709221298,,,
628,SW00,1709221298,,,
629,SN12,1709221298,,,
630,SN10,1709221298,,,
631,SE12,1709221298,,,
632,SE10,1709221298,,,
633,ES02,1709221298,,,
634,ES01,1709221298,,,
635,EW13,1709221298,,,
636,EW11,1709221298,,,
637,EN13,1709221298,,,
638,EN11,1709221298,,,
639,SW03,1709221298,,,
640,SW01,1709221298,,,
641,SN13,1709221298,,,
642,SN11,1709221298,,,
643,SN10,1709221298,,,
644,SE12,1709221298,,,
645,SE10,1709221298,,,
646,ES03,1709221298,,,
647,ES01,1709221298,,,
648,ES00,1709221298,,,
649,EW12,1709221298,,,
650,EN13,1709221298,,,
651,EN12,1709221298,,,
652,EN10,1709221298,,,
653,SW02,1709221298,,,
654,SW00,1709221298,,,
655,SN12,1709221298,,,
656,SE13,1709221298,,,
657,SE11,1709221298,,,
658,ES02,1709221298,,,
659,ES01,1709221298,,,
660,EW12,1709221298,,,
661,EW10,1709221298,,,
662,EN12,1709221298,,,
663,EN10,1709221298,,,
664,SW02,1709221298,,,
665,SN11,1709221298,,,
666,SN10,1709221298,,,
667,SE12,1709221298,,,
668,SE10,1709221298,,,
669,ES02,1709221298,,,
670,ES01,1709221298,,,
671,EW12,1709221298,,,
672,EN13,1709221298,,,
673,EN12,1709221298,,,
674,EN10,1709221298,,,
675,SW01,1709221298,,,
676,SW00,1709221298,,,
677,SN11,1709221298,,,
678,SN10,1709221298,,,
679,SE12,1709221298,,,
680,SE10,1709221299,,,
681,ES03,1709221299,,,
682,ES01,1709221299,,,
683,ES00,1709221299,,,
684,EW12,1709221299,,,
685,EW10,1709221299,,,
686,EN13,1709221299,,,
687,EN12,1709221299,,,
688,EN10,1709221299,,,
689,SW03,1709221299,,,
690,SW01,1709221299,,,
691,SW00,1709221299,,,
692,SN12,1709221299,,,
693,SN10,1709221299,,,
694,SE12,1709221299,,,
695,SE11,1709221299,,,
696,SE10,1709221299,,,
697,ES02,1709221299,,,
698,ES01,1709221299,,,
699,EW13,1709221299,,,
700,EW11,1709221299,,,
701,EW10,1709221299,,,
702,EN12,1709221299,,,
703,EN10,1709221299,,,
704,SW02,1709221299,,,
705,SW00,1709221299,,,
706,SN12,1709221299,,,
707,SN10,1709221299,,,
708,SE13,1709221299,,,
709,SE11,1709221299,,,
710,ES03,1709221299,,,
711,ES01,1709221299,,,
712,ES00,1709221299,,,
713,EW12,1709221299,,,
714,EW11,1709221299,,,
715,EN12,1709221299,,,
716,EN10,1709221299,,,
717,SW02,1709221299,,,
718,SN13,1709221299,,,
719,SN11,1709221299,,,
720,SN10,1709221299,,,
721,SE12,1709221299,,,
722,SE10,1709221299,,,
723,ES01,1709221299,,,
724,ES00,1709221299,,,
725,EW13,1709221299,,,
726,EW11,1709221299,,,
727,EN13,1709221299,,,
728,EN11,1709221299,,,
729,SW03,1709221299,,,
730,SW00,1709221299,,,
731,SN12,1709221299,,,
732,SN10,1709221299,,,
733,SE13,1709221299,,,
734,SE11,1709221299,,,
735,ES01,1709221299,,,
736,ES00,1709221299,,,
737,EW12,1709221299,,,
738,EW11,1709221299,,,
739,EN13,1709221299,,,
740,EN11,1709221299,,,
741,SW03,1709221299,,,
742,SW00,1709221299,,,
743,SN12,1709221299,,,
744,SN10,1709221299,,,
745,SE12,1709221299,,,
746,ES02,1709221299,,,
747,ES01,1709221299,,,
748,EW13,1709221299,,,
749,EW11,1709221299,,,
750,EN13,1709221299,,,
751,EN12,1709221299,,,
752,SW03,1709221299,,,
753,SW01,1709221299,,,
754,SN13,1709221299,,,
755,SN11,1709221299,,,
756,SE13,1709221299,,,
757,SE11,1709221299,,,
758,ES02,1709221299,,,
759,ES01,1709221299,,,
760,EW13,1709221299,,,
761,EW11,1709221299,,,
762,EN13,1709221299,,,
763,SW02,1709221299,,,
764,SW00,1709221299,,,
765,SN12,1709221299,,,
766,SN10,1709221299,,,
767,SE12,1709221299,,,
768,SE10,1709221299,,,
769,ES03,1709221299,,,
770,ES01,1709221299,,,
771,ES00,1709221299,,,
772,EW11,1709221299,,,
773,EN13,1709221299,,,
774,EN11,1709221299,,,
775,EN10,1709221299,,,
776,SW02,1709221299,,,
777,SW01,1709221299,,,
778,SN13,1709221299,,,
779,SN11,1709221299,,,
780,SE13,1709221299,,,
781,SE11,1709221299,,,
782,ES03,1709221299,,,
783,ES01,1709221299,,,
784,EW13,1709221299,,,
785,EW11,1709221299,,,
786,EN13,1709221299,,,
787,EN11,1709221299,,,
788,SW03,1709221299,,,
789,SW01,1709221299,,,
790,SW00,1709221299,,,
791,SN12,1709221299,,,
792,SN10,1709221299,,,
793,SE12,1709221299,,,
794,SE10,1709221299,,,
795,ES02,1709221299,,,
796,ES01,1709221299,,,
797,EW13,1709221299,,,
