,starttime,endtime,
522,1709072203,1709072203,0
523,1709072203,1709072203,0
524,1709072204,1709072204,0
525,1709072204,1709072204,1.00136E-05
526,1709072204,1709072204,0
527,1709072204,1709072204,1.00136E-05
528,1709072204,1709072204,1.00136E-05
529,1709072204,1709072204,1.00136E-05
530,1709072204,1709072204,0
531,1709072204,1709072204,0
532,1709072204,1709072204,0
533,1709072204,1709072204,1.00136E-05
534,1709072205,1709072205,1.00136E-05
535,1709072205,1709072205,1.00136E-05
536,1709072205,1709072205,1.00136E-05
537,1709072205,1709072205,0
538,1709072205,1709072205,0
539,1709072205,1709072205,0
540,1709072205,1709072205,0
541,1709072205,1709072205,0
542,1709072205,1709072205,1.00136E-05
543,1709072205,1709072205,1.00136E-05
544,1709072206,1709072206,0
545,1709072206,1709072206,0
546,1709072206,1709072206,1.00136E-05
547,1709072206,1709072206,1.00136E-05
548,1709072206,1709072206,1.00136E-05
549,1709072206,1709072206,1.00136E-05
550,1709072206,1709072206,1.00136E-05
551,1709072206,1709072206,0
552,1709072206,1709072206,1.00136E-05
553,1709072206,1709072206,1.00136E-05
554,1709072207,1709072207,0
555,1709072207,1709072207,0
556,1709072207,1709072207,0
557,1709072207,1709072207,1.00136E-05
558,1709072207,1709072207,1.00136E-05
559,1709072207,1709072207,1.00136E-05
560,1709072207,1709072207,1.00136E-05
561,1709072207,1709072207,0
562,1709072207,1709072207,0
563,1709072207,1709072207,1.00136E-05
564,1709072208,1709072208,1.00136E-05
565,1709072208,1709072208,0
566,1709072208,1709072208,0
567,1709072208,1709072208,0
568,1709072208,1709072208,1.00136E-05
569,1709072208,1709072208,1.00136E-05
570,1709072208,1709072208,1.00136E-05
571,1709072208,1709072208,0
572,1709072208,1709072208,0
573,1709072208,1709072208,1.00136E-05
574,1709072209,1709072209,1.00136E-05
575,1709072209,1709072209,1.00136E-05
576,1709072209,1709072209,1.00136E-05
577,1709072209,1709072209,0
578,1709072209,1709072209,1.00136E-05
579,1709072209,1709072209,0
580,1709072209,1709072209,0
581,1709072209,1709072209,1.00136E-05
582,1709072209,1709072209,2.98023E-05
583,1709072209,1709072209,1.00136E-05
584,1709072210,1709072210,0
585,1709072210,1709072210,0
586,1709072210,1709072210,0
587,1709072210,1709072210,1.00136E-05
588,1709072210,1709072210,0
589,1709072210,1709072210,1.00136E-05
590,1709072210,1709072210,9.77516E-06
591,1709072210,1709072210,0
592,1709072210,1709072210,1.00136E-05
593,1709072210,1709072210,0
594,1709072211,1709072211,1.00136E-05
595,1709072211,1709072211,9.77516E-06
596,1709072211,1709072211,1.00136E-05
597,1709072211,1709072211,1.00136E-05
598,1709072211,1709072211,1.00136E-05
599,1709072211,1709072211,0
600,1709072211,1709072211,0
601,1709072211,1709072211,1.00136E-05
602,1709072211,1709072211,1.00136E-05
603,1709072211,1709072211,1.00136E-05
604,1709072212,1709072212,1.00136E-05
605,1709072212,1709072212,1.00136E-05
606,1709072212,1709072212,1.00136E-05
607,1709072212,1709072212,0
608,1709072212,1709072212,0
609,1709072212,1709072212,0
610,1709072212,1709072212,1.00136E-05
611,1709072212,1709072212,1.00136E-05
612,1709072212,1709072212,0
613,1709072212,1709072212,0
614,1709072213,1709072213,1.00136E-05
615,1709072213,1709072213,0
616,1709072213,1709072213,0
617,1709072213,1709072213,0
618,1709072213,1709072213,1.00136E-05
619,1709072213,1709072213,1.00136E-05
620,1709072213,1709072213,1.00136E-05
621,1709072213,1709072213,0
622,1709072214,1709072214,1.00136E-05
623,1709072214,1709072214,1.00136E-05
624,1709072214,1709072214,1.00136E-05
625,1709072214,1709072214,1.00136E-05
626,1709072214,1709072214,1.00136E-05
627,1709072214,1709072214,2.00272E-05
628,1709072214,1709072214,0
629,1709072214,1709072214,0
630,1709072214,1709072214,0
631,1709072214,1709072214,9.77516E-06
632,1709072215,1709072215,0
633,1709072215,1709072215,0
634,1709072215,1709072215,1.00136E-05
635,1709072215,1709072215,1.00136E-05
636,1709072215,1709072215,1.00136E-05
637,1709072215,1709072215,1.00136E-05
638,1709072215,1709072215,0
639,1709072215,1709072215,0
640,1709072215,1709072215,1.00136E-05
641,1709072215,1709072215,1.00136E-05
642,1709072216,1709072216,1.00136E-05
643,1709072216,1709072216,2.00272E-05
644,1709072216,1709072216,2.00272E-05
645,1709072216,1709072216,2.00272E-05
646,1709072216,1709072216,2.00272E-05
647,1709072216,1709072216,2.00272E-05
648,1709072216,1709072216,2.00272E-05
649,1709072216,1709072216,1.00136E-05
650,1709072216,1709072216,2.00272E-05
651,1709072216,1709072216,2.00272E-05
652,1709072217,1709072217,2.00272E-05
653,1709072217,1709072217,2.00272E-05
654,1709072217,1709072217,2.00272E-05
655,1709072217,1709072217,4.00543E-05
656,1709072217,1709072217,2.00272E-05
657,1709072217,1709072217,2.00272E-05
658,1709072217,1709072217,2.00272E-05
659,1709072217,1709072217,1.97887E-05
660,1709072217,1709072217,2.00272E-05
661,1709072217,1709072217,1.00136E-05
662,1709072218,1709072218,2.00272E-05
663,1709072218,1709072218,2.00272E-05
664,1709072218,1709072218,1.97887E-05
665,1709072218,1709072218,1.00136E-05
666,1709072218,1709072218,1.97887E-05
667,1709072218,1709072218,1.97887E-05
668,1709072218,1709072218,1.00136E-05
669,1709072218,1709072218,1.97887E-05
670,1709072218,1709072218,1.97887E-05
671,1709072218,1709072218,2.00272E-05
672,1709072219,1709072219,1.00136E-05
673,1709072219,1709072219,1.00136E-05
674,1709072219,1709072219,1.00136E-05
675,1709072219,1709072219,2.00272E-05
676,1709072219,1709072219,1.97887E-05
677,1709072219,1709072219,2.00272E-05
678,1709072219,1709072219,2.00272E-05
679,1709072219,1709072219,2.00272E-05
680,1709072219,1709072219,1.00136E-05
681,1709072219,1709072219,1.00136E-05
682,1709072220,1709072220,2.00272E-05
683,1709072220,1709072220,2.00272E-05
684,1709072220,1709072220,1.00136E-05
685,1709072220,1709072220,2.00272E-05
686,1709072220,1709072220,2.00272E-05
687,1709072220,1709072220,1.97887E-05
688,1709072220,1709072220,2.00272E-05
689,1709072220,1709072220,2.00272E-05
690,1709072220,1709072220,2.00272E-05
691,1709072220,1709072220,5.00679E-05
692,1709072221,1709072221,1.00136E-05
693,1709072221,1709072221,2.00272E-05
694,1709072221,1709072221,1.00136E-05
695,1709072221,1709072221,1.00136E-05
696,1709072221,1709072221,1.00136E-05
697,1709072221,1709072221,3.98159E-05
698,1709072221,1709072221,1.00136E-05
699,1709072221,1709072221,1.00136E-05
700,1709072221,1709072221,2.00272E-05
701,1709072221,1709072221,2.00272E-05
702,1709072222,1709072222,2.00272E-05
703,1709072222,1709072222,2.00272E-05
704,1709072222,1709072222,2.00272E-05
705,1709072222,1709072222,1.00136E-05
706,1709072222,1709072222,1.00136E-05
707,1709072222,1709072222,2.00272E-05
708,1709072222,1709072222,1.00136E-05
709,1709072222,1709072222,2.00272E-05
